ciiu;personal_mujer;personal_hombre;gasto_personal;gasto_financiero;costos_gastos_produccion;gastos_adm_ventas;inversion_AF;ventas
1090;60;192;11821945;694808;12439116;133834549;3092589;303968848
1312;105;855;41456797;537188;13218127;32272088;1498564;160763941
1312;105;855;41456797;537188;13218127;32272088;1498564;160763941
3290;119;586;70217571;1121631;40048145;569064413;35518018;961974639
1312;105;855;41456797;537188;13218127;32272088;1498564;160763941
1089;137;371;32058205;831321;19218225;69770666;6072767;361162452
1082;157;296;21648490;805900;12959271;57941146;5970883;260836023
1011;50;352;16452848;920112;15450516;3441779;2378073;41939814
2310;72;271;32334949;635362;34090113;23210521;92544622;321070109
2599;132;403;19868613;1280981;8244537;58463761;5677906;127729200
1081;132;730;44924053;1179435;46476540;80104190;5979907;327847201
3290;41;290;56192846;11792782;259223644;210377611;59336962;626986551
2393;107;311;16732601;849102;4329647;18943325;1184062;64443517
1410;1289;979;84281371;5869669;96547744;115948953;14321144;423195220
3091;187;720;39345336;6634856;11389962;218912350;810139;465063496
2021;53;202;10749305;961212;6569304;18373119;2873470;109902499
3091;187;720;39345336;6634856;11389962;218912350;810139;465063496
2740;81;123;7021878;1178662;4159614;17746860;1936901;37339666
2711;25;161;6890522;1173259;2528527;7279095;1391766;42804530
2599;41;278;7920019;2672707;8753839;7338111;1918402;35043862
2029;27;391;21100236;964849;11381236;24460979;16103203;189936880
2022;74;351;24915346;1685016;11477314;69867206;1860599;261307789
2022;74;351;24915346;1685016;11477314;69867206;1860599;261307789
2021;53;202;10749305;961212;6569304;18373119;2873470;109902499
1512;317;347;20778012;1959124;43341034;111263278;4460590;86139009
1410;244;103;9000759;2581843;6698416;25789228;406;95614757
1392;186;189;9824588;644236;5538506;17989949;202001;53867329
1011;234;460;23872602;1053747;9375035;19237689;6824160;165444927
2399;48;165;8825513;597821;6688709;8951688;3836499;41649898
1090;60;192;11821945;694808;12439116;133834549;3092589;303968848
2740;81;123;7021878;1178662;4159614;17746860;1936901;37339666
2599;132;403;19868613;1280981;8244537;58463761;5677906;127729200
2790;83;103;4954499;1145917;982169;19761690;1152094;74585881
2393;107;311;16732601;849102;4329647;18943325;1184062;64443517
2399;48;165;8825513;597821;6688709;8951688;3836499;41649898
2711;25;161;6890522;1173259;2528527;7279095;1391766;42804530
2711;25;161;6890522;1173259;2528527;7279095;1391766;42804530
2750;141;772;30961077;1487159;16163418;110189974;12672212;236006882
2821;23;110;6023658;1653690;830051;19599325;938452;10240161
2599;132;403;19868613;1280981;8244537;58463761;5677906;127729200
2429;18;83;3779808;8276256;921847;13534032;2091752;321985848
2821;23;110;6023658;1653690;830051;19599325;938452;10240161
2392;11;82;3388282;854168;2323665;5597104;9468921;20187362
2393;107;311;16732601;849102;4329647;18943325;1184062;64443517
1399;39;87;4017272;595737;1541617;4225602;1083299;18576015
2023;498;430;50545524;1911592;47372770;121808079;13500883;330867394
2022;74;351;24915346;1685016;11477314;69867206;1860599;261307789
2029;27;391;21100236;964849;11381236;24460979;16103203;189936880
1709;55;230;17645886;8684099;8388568;32131991;18627500;165364432
1709;95;319;25100447;6662780;14461257;98603715;16576632;379105096
1709;95;319;25100447;6662780;14461257;98603715;16576632;379105096
1410;61;27;4361994;8881648;2180382;27660233;0;15676073
1512;317;347;20778012;1959124;43341034;111263278;4460590;86139009
1410;20;38;2139842;541656;8901127;4633949;29319;29579865
1410;157;10;6644794;17406587;8938451;75436650;0;0
1410;25;29;1918096;1113329;9347229;8975894;0;35460281
1410;556;85;14257150;562760;1311300;8568886;214904;45927616
1410;106;82;6037349;604718;9512097;10385391;19340;53455389
1410;74;99;8430191;1766108;5878239;98558521;1064702;24910391
1410;169;283;22073101;808337;29601602;107100596;0;128310447
1410;220;227;21063010;740754;6599250;32415447;5894914;91704953
1410;127;55;9474742;5464163;30217055;31443682;908640;128148141
1410;145;108;9200152;854374;32683351;8954089;3394904;81068650
1392;186;189;9824588;644236;5538506;17989949;202001;53867329
1410;203;35;7373345;536477;1804770;15098981;327402;37970437
3290;119;586;70217571;1121631;40048145;569064413;35518018;961974639
1090;113;217;23621060;824343;1285032;63982068;3974972;198280234
1089;137;371;32058205;831321;19218225;69770666;6072767;361162452
1082;157;296;21648490;805900;12959271;57941146;5970883;260836023
1081;132;730;44924053;1179435;46476540;80104190;5979907;327847201
1011;31;381;8647705;2271187;12996291;18395048;12019940;163507993
1709;55;230;17645886;8684099;8388568;32131991;18627500;165364432
1709;95;319;25100447;6662780;14461257;98603715;16576632;379105096
1089;51;145;11745637;4042933;4378060;11579934;13809841;75693068
2920;76;466;14468726;4051231;2758857;8135755;893847;68496181
1410;701;391;23535340;664073;6540716;18201292;2143756;70593368
1410;701;391;23535340;664073;6540716;18201292;2143756;70593368
1410;701;391;23535340;664073;6540716;18201292;2143756;70593368
1089;93;205;10934460;1384050;16959038;19344292;11555678;136493373
1089;93;205;10934460;1384050;16959038;19344292;11555678;136493373
2599;47;197;14535620;3429677;10839509;89749320;4682533;131567450
2395;31;275;13412476;4757614;18400996;29882684;6412747;121226640
2395;31;275;13412476;4757614;18400996;29882684;6412747;121226640
1061;24;99;3720876;644549;3799372;52493572;9086434;306175590
1701;72;406;50177477;1844408;44356723;49909358;15578059;365849674
1701;72;406;50177477;1844408;44356723;49909358;15578059;365849674
1701;72;406;50177477;1844408;44356723;49909358;15578059;365849674
1071;151;710;58833803;1227694;57008545;122490409;73020493;632519402
2023;365;618;84081077;13690458;55206809;256619376;89846496;792282515
3091;88;373;22088759;35203208;4175751;171278876;10501572;162509864
2920;26;177;7506332;2978842;3799232;16582564;1078638;21820851
2920;26;177;7506332;2978842;3799232;16582564;1078638;21820851
2790;50;229;14560363;1126494;8638367;52055138;2479205;239853816
