edad;sexo;cabeza_de_hogar;caracterizacion_ciudadano;tipo_de_emprendimiento;idea_de_negocio;estrato;barrio_vereda_ciudadano;comuna_ciudadano;zona_ciudadano;fecha_de_beneficio_dia;fecha_de_beneficio_mes;"fecha_de_beneficio_año"
52;femenino;"";"";"";cuero, tejido, croché, bordados, bolsos zapatos, tejidos y bordados;"";belen;16-belen;sur-occidental;17;10;2018.0
58;femenino;si;emprendedor;artesanias;"comercializar y enseñar/amigurumi, muñecas de tela, porcelanicron scrapbook,  arte quiteño.";"";la america;12-la américa;centro-occidental;17;10;2018.0
56;femenino;si;emprendedor;artesanias;pinturas al oleo / tarjetas, individuales, muebles, productos decorativos;3;el pradito;60-corregimiento de san cristobal;nor-occidental;17;10;2018.0
61;femenino;"";"";"";tejido y bordado sobre prendas / línea masculina de prendas, línea infantil, bolsos, accesorios;"";belen;16-belen;sur-occidental;17;10;2018.0
49;masculino;"";"";"";calicaturas, esculturas, pinturas;"";boston;10-la candelaria;centro-oriental;17;10;2018.0
35;femenino;"";"";"";scrapbook, bisoteria, manualidades / tarjeteria, empaques, albunes,  balacas, accesorios en bisoteria;"";buenos aires;09-buenos aires;centro-oriental;17;10;2018.0
48;femenino;no;emprendedor;artesanias;pinturas al oleo /;3;robledo;07-robledo;nor-occidental;17;10;2018.0
51;femenino;si;empresaria;"";accesorios en cuero reciclado, diferentes tejidos ancestrales, semillas naturales y metales;2;santa monica;12-la américa;centro-occidental;17;10;2018.0
45;femenino;si;emprendedor;artesanias;necesidad y oportunidad / esculturas en hierro forjado, muebles y pinturas.;3;castilla;05-castilla;nor-occidental;17;10;2018.0
34;femenino;si;emprendedor;artesanias;accesorios tejidos en mostacilla y macrame;3;otro;99-otro;otro;17;10;2018.0
58;femenino;si;emprendedor;artesanias;bisuteria / collares, llaveros, pulseras, aretas;3;buenos aires;09-buenos aires;centro-oriental;16;10;2018.0
63;femenino;no;emprendedor;artesanias;bisuteria / con cascara de naranja;1;aranjuez;04-aranjuez;nor-oriental;16;10;2018.0
26;femenino;no;empresaria;artesanias;bisuteria y otros / cuadernos, libretas, bitacoras, separadores de libros, stickers, prints, almejas en bisuteria, tulas, camisetas.;2;robledo;07-robledo;nor-occidental;16;10;2018.0
41;femenino;si;emprendedor;artesanias;bisuteria infantil;1;santa cruz;02-santa cruz;nor-oriental;16;10;2018.0
57;femenino;no;emprendedor;artesanias;decoración de botellas, arte country, diferentes técnicas de pintura;4;nueva villa del aburra;16-belen;sur-occidental;16;10;2018.0
58;femenino;si;emprendedor;artesanias;manualidades variado / pintura en madera, decoración de fiestas, navidad;3;robledo;07-robledo;nor-occidental;16;10;2018.0
51;femenino;"";emprendedor;artesanias;bisuteria/collares aretes pulseras;"";san antonio de prado;80-corregimiento de san antonio de prado;sur-occidental;16;10;2018.0
61;masculino;si;emprendedor;artesanias;fabricación de artículos decorativos y funcionales a partir de botellas de vidrio recuperadas.;4;belen;16-belen;sur-occidental;16;10;2018.0
63;femenino;no;emprendedor;artesanias;manualidades  varias: técnica de puntillismo, bordado en cinta, muñecos navideños, entre otros.;4;la floresta;12-la américa;centro-occidental;16;10;2018.0
52;femenino;si;emprendedor;artesanias;taller de bisuteria / collares, manillas, aretes, cinturones, llaveros;2;granizal;01-popular;nor-oriental;16;10;2018.0
58;femenino;si;emprendedor;artesanias;tanto necesidad como oportunidad / lociones  zapatos crochet  bisuteria collares enbera peyote  busos ruanas gorros  etc.;3;boyaca las brisas;05-castilla;nor-occidental;16;10;2018.0
39;femenino;no;empresaria;"";bisuteria  artesanias;3;otro;99-otro;otro;16;10;2018.0
21;femenino;"";"";"";"";"";san antonio de prado;80-corregimiento de san antonio de prado;sur-occidental;16;10;2018.0
63;masculino;"";"";"";talla en acrílico, recuperación de papel/cajas, pirámides, esferas, decoración;"";san joaquin;11-laureles estadio;centro-occidental;16;10;2018.0
63;femenino;si;"";"";bordadora, artes manuales / tarjeteria, bordado en cinta, macrame, bisoteria, reciclaje en retaceria para decoración hogar y fiestas;3;calasanz;12-la américa;centro-occidental;16;10;2018.0
48;femenino;si;empresaria;"";vitral / material y juegos didactico, velas de innovacion en oro plata bronce y piedra, chocolates, falto vitral;3;el rodeo;15-guayabal;sur-occidental;16;10;2018.0
45;masculino;"";"";"";talla y calado en madera;"";otro;99-otro;otro;16;10;2018.0
57;femenino;si;emprendedor;artesanias;tejeduria y bordado/accesorios crochet y collares con chaquiras;4;la castellana;11-laureles estadio;centro-occidental;16;10;2018.0
38;femenino;no;emprendedor;artesanias;pintura, acrilico y scrap;4;calasanz;12-la américa;centro-occidental;16;10;2018.0
35;femenino;"";"";"";"";"";guayabal;15-guayabal;sur-occidental;16;10;2018.0
50;femenino;si;empresaria;"";muñecas de trapo;2;manrique central no.2;03-manrique;nor-oriental;16;10;2018.0
48;femenino;no;empresaria;"";cueros y terminados en semillas/diseño y fabricacion de bolsos, mochilas y morrales;4;otro;99-otro;otro;16;10;2018.0
42;masculino;si;emprendedor;artesanias;bitacoras personalizadas;3;"";"";"";16;10;2018.0
50;masculino;no;emprendedor;artesanias;lamina de aluminio repujada, algodón prensado y entretela / cuadros, figuras decorativas, imanes, accesorios;3;villa hermosa;08-villa hermosa;centro-oriental;16;10;2018.0
52;femenino;si;empresaria;"";bisoteria / macrame, tobilleras;4;laureles;11-laureles estadio;centro-occidental;16;10;2018.0
57;femenino;no;emprendedor;no formal;papel mache;4;calasanz;12-la américa;centro-occidental;16;10;2018.0
61;masculino;no;emprendedor;artesanias;inicialmente fue por necesidad de dar conocimiento y valor agregado a mi producto.  manualidades en cuero, por oportunidad, idea de negocio / productos: son diversos: correas, bolsos, diademas, manillas, aretes;3;belen;16-belen;sur-occidental;16;10;2018.0
44;masculino;no;emprendedor;artesanias;madera y vidrio / lamparas;4;laureles;11-laureles estadio;centro-occidental;16;10;2018.0
51;masculino;no;emprendedor;artesanias;objetos decorativos trabajo en alambre, papel mache, porcelanicron / decoracion hogar;3;manrique central no.2;03-manrique;nor-oriental;16;10;2018.0
46;femenino;si;emprendedor;artesanias;bisuteria y tejidos / collare, bufandas, cofres,  tapetes, camandulas;3;villa hermosa;08-villa hermosa;centro-oriental;16;10;2018.0
60;femenino;si;emprendedor;artesanias;articulos en cuero / bolsos, monederos;2;manrique central no.2;03-manrique;nor-oriental;16;10;2018.0
50;femenino;no;emprendedor;artesanias;"pinturas en oleo, ceramica y madera / bisoteria";4;la america;12-la américa;centro-occidental;16;10;2018.0
59;femenino;no;emprendedor;artesanias;tejeduria / bolsos, zapatos;2;robledo;07-robledo;nor-occidental;16;10;2018.0
47;femenino;no;empresaria;"";ambas, tenia la necesidad de generar mis propios ingresos y encontre una oprtunidad de crear mi empresa con capital semilla / articulos decorativos para el hogar: porta calientes, porta vasos, porta retratos, cubiertos decorados con chaquiras, centros de mesa, lamparas, entre otros;4;san javier no.1;13-san javier;centro-occidental;16;10;2018.0
63;femenino;no;emprendedor;artesanias;subenir / lapiceros, recordatorios y productos emocionales en porcelanicron;3;pedregal;06-doce de octubre;nor-occidental;16;10;2018.0
44;femenino;si;emprendedor;artesanias;"joyeria, fieltro / accesorios, llaveros en fieltro";4;belen;16-belen;sur-occidental;16;10;2018.0
40;femenino;si;emprendedor;artesanias;"piedra murano / manillas, chaquiras";4;belen;16-belen;sur-occidental;16;10;2018.0
60;masculino;si;emprendedor;artesanias;guarnecedor / cinturones fuera de serie;2;robledo;07-robledo;nor-occidental;16;10;2018.0
38;femenino;no;emprendedor;artesanias;"artesanias en cuero  / marroquineria,repujado y pontado en cuero.";3;"";"";"";16;10;2018.0
65;femenino;"";"";"";manualidades/muñequeria y decoracion de botellas;"";el salvador;09-buenos aires;centro-oriental;16;10;2018.0
61;femenino;si;emprendedor;artesanias;tambien se dedica al macrosector eductivo en educacion no formal   / bisoteria collares aretas;4;calasanz;12-la américa;centro-occidental;16;10;2018.0
57;femenino;no;emprendedor;artesanias;"mosaico y reciclaje / articulos como percheros, decoracion de murales, reciclaje billeteras y porta pasaportesy juguetes";3;santa lucia;12-la américa;centro-occidental;16;10;2018.0
"";femenino;no;emprendedor;artesanias;productos: joyería en plata, filigrana, peyote, bordados, talla en madera.;2;san jose la cima no.1;03-manrique;nor-oriental;16;10;2018.0
52;femenino;si;emprendedor;artesanias;calzado, artesanal. este tipo de calzado se puede elaborar para personas que presenta algunas patologías,  adjunto imágenes ;"";san diego;10-la candelaria;centro-oriental;16;10;2018.0
52;femenino;no;emprendedor;artesanias;bordado / cojines, toallas, lencería;5;simon bolivar;12-la américa;centro-occidental;17;10;2018.0
"";femenino;no;emprendedor;artesanias;joyeria;4;la floresta;12-la américa;centro-occidental;17;10;2018.0
"";femenino;no;emprendedor;artesanias;bisoteria;3;san javier no.1;13-san javier;centro-occidental;17;10;2018.0
"";masculino;no;emprendedor;artesanias;sandalias de cuero;4;belen;16-belen;sur-occidental;17;10;2018.0
"";femenino;no;emprendedor;artesanias;"artesanias en pañolencya / articulos decorativos hogar";5;belen;16-belen;sur-occidental;16;10;2018.0
25;femenino;"";"";artesanias;tejeduria / colchas, ponchos, manillas, bolsos, materas, cobijas;3;manrique oriental;03-manrique;nor-oriental;17;10;2018.0
44;femenino;no;emprendedor;artesanias;artesanal / vitrales, mosaicos y puntillismo;2;robledo;07-robledo;nor-occidental;17;10;2018.0
