"";"WMT.Adjusted";"PG.Adjusted";"NFLX.Adjusted";"KO.Adjusted";"JNJ.Adjusted"
"64";99,353104;103,639091;345,609985;47,192696;133,102707
"65";98,94693;104,718666;354,98999;47,667625;133,190247
"66";100,363571;106,102486;359,309998;48,055332;134,454926
"67";99,917786;105,454735;354,450012;47,687016;134,844055
"68";100,571609;105,33696;348,109985;47,347775;134,659225
"69";100,175362;104,394791;354,269989;47,105461;134,367371
"70";101,274986;104,738297;359,730011;48,123177;134,98996
"71";100,90844;104,77755;352,209991;48,31702;135,991974
"72";101,710869;104,708847;354,390015;48,084404;136,001785
"73";101,463211;102,520256;355,059998;47,590088;134,258301
"74";101,166016;102,255272;349,190002;47,115158;128,636047
"75";101,235359;103,374107;351,850006;47,735474;129,400055
"76";100,492363;100,999046;343,279999;47,619167;128,459747
"77";101,007507;101,87252;336,630005;48,443027;128,74379
"78";101,601898;102,736176;353,399994;48,46241;130,986801
"79";103,444519;104,7481;355,730011;49,21843;131,623474
"80";104,128075;105,386032;357,130005;49,819363;133,876282
"81";105,069199;106,750214;360,869995;49,906597;135,707947
"82";106,515564;106,701149;352,01001;49,799976;136,16832
"83";106,931648;107,348892;351,269989;49,751514;136,91272
"84";107,803421;107,643333;345,559998;50,051983;138,773727
"85";107,63501;108,850487;343,429993;49,94453;137,823639
"86";108,051086;109,135101;339,730011;50,120358;137,216354
"87";108,140251;108,928993;350,619995;49,690556;136,579697
"88";108,625671;107,564812;357,119995;49,465889;137,353485
"89";108,595955;108,369583;363,519989;49,934757;137,56897
"90";109,289406;109,665077;365,209991;50,462238;139,292877
"91";110,091843;109,135101;369,209991;50,35479;139,175308
"92";110,200806;110,244118;371,040009;50,716213;140,125427
"93";109,685677;109,645447;360,299988;50,559917;141,281219
"94";109,130913;107,692406;362,200012;49,934757;138,940247
"95";109,071465;107,74147;370,019989;49,895691;137,804047
"96";109,457817;107,613884;367,320007;49,739399;136,422974
"97";109,586609;108,438286;374,600006;50,403633;136,501343
"98";110,557449;109,409912;375,429993;50,774822;137,157578
"99";111,270721;111,961624;381,720001;50,892036;139,224304
"100";110,933899;111,048897;380,549988;50,90181;137,686508
"101";111,666985;111,932182;376,160004;50,794357;138,078308
"102";111,825493;110,813354;379,929993;50,393864;138,509293
"103";111,924561;111,637756;381;50,618534;138,313385
"104";112,855774;112,25605;379,5;50,833431;137,235947
"105";113,529427;112,854721;373,25;50,911575;131,54512
"106";113,905876;113,335632;366,600006;50,921345;131,946716
"107";113,687935;113,738007;365,98999;50,93111;129,782043
"108";113,529427;113,787086;362,440002;50,970184;129,155182
"109";113,648308;114,029984;325,209991;50,823662;129,36087
"110";112,835968;113,60524;315,100006;50,198502;127,636971
"111";111,766052;113,891693;310,619995;50,032444;126,001221
"112";111,04287;112,459396;307,299988;53,070339;126,197113
"113";110,95372;111,22467;317,940002;52,533085;127,117828
"114";111,171661;111,392586;326,459991;51,83955;128,430344
"115";111,964188;113,328651;335,779999;52,914043;128,048355
"116";111,221191;114,583138;332,700012;52,73822;130,291382
"117";111,013153;118,939278;325,929993;52,47448;129,370651
"118";109,348846;116,598221;322,98999;51,409752;127,54882
"119";108,358185;115,304222;319,5;50,823662;127,617378
"120";108,377998;115,017769;318,829987;51,116707;128,381378
"121";104,831451;111,698807;307,630005;50,452473;127,490051
"122";106,267899;112,884148;310,100006;51,058098;128,08754
"123";107,189209;114,109001;304,290009;51,946999;127,539032
"124";108,035408;116,005554;315,899994;52,445175;128,978851
"125";106,800949;115,353615;308,929993;52,181431;129,331482
"126";104,750153;114,61277;310,829987;51,966537;129,223724
"127";106,930374;115,817871;312,279999;52,259583;130,683167
"128";105,725769;114,37571;299,109985;51,761406;127,587975
"129";112,186798;115,956161;295,76001;52,621002;127,862244
"130";112,485451;117,724297;302,799988;53,148483;128,665421
"131";113,301788;118,771347;309,380005;53,421989;129,53717
"132";111,549652;117,447723;298,98999;52,630772;127,921028
"133";111,519783;117,744049;297,809998;52,845665;128,83194
"134";111,410278;117,961365;296,929993;53,226627;128,577271
"135";110,335098;115,887016;291,440002;52,494015;125,109894
"136";111,489914;117,862595;294,980011;53,275467;126,116463
"137";111,917999;119,07756;291,029999;53,45129;127,932213
"138";112,21666;119,917191;291,769989;53,832253;126,984856
