Clasificación Industrial Internacional Uniforme Versión 4 A.C (CIIU);Departamento de la dirección del domicilio;Ciudad de la dirección del domicilio;Ingresos de actividades ordinarias;Costo de ventas;Ganancia bruta;Otros ingresos;Gastos de ventas;Gastos de administración;Otros gastos;Otras ganancias (pérdidas);Ganancia (pérdida) por actividades de operación;Diferencia entre el importe en libros de dividendos pagaderos e importe en libros de activos distribuidos distintos al efectivo;Ganancias (pérdidas) que surgen de la baja en cuentas de activos financieros medidos al costo amortizado;Ingresos financieros;Costos financieros;Deterioro de valor de ganancias y reversión de pérdidas por deterioro de valor (pérdidas por deterioro de valor) determinado de acuerdo con la NIIF 9;Ganancias (pérdidas) que surgen de diferencias entre el costo amortizado anterior y el valor razonable de activos financieros reclasificados de la categoría de medición costo amortizado a la categoría de medición de valor razonable con cambios en resultados;Ganancia (pérdida) acumulada anteriormente reconocida en otro resultado integral que surge de la reclasificación de activos financieros de la categoría de medición de valor razonable con cambios en otro resultado integral a la de valor razonable con cambios en resultados;Ganancias (pérdidas) de cobertura por cobertura de un grupo de partidas con posiciones de riesgo compensadoras;Ganancia (pérdida), antes de impuestos;Ingreso (gasto) por impuestos;Ganancia (pérdida) procedente de operaciones continuadas;Ganancia (pérdida) procedente de operaciones discontinuadas;Ganancia (pérdida)
A0125 - Cultivo de flor de corte;ANTIOQUIA;MEDELLIN-ANTIOQUIA;33249670;28895522;4354148;1665086;2000679;4920489;390094;;-1292028;;;55313;1887904;;;;;-3124619;-902156;-2222463;;-2222463
J5811 - Edición de libros;BOGOTA D.C.;BOGOTA D.C.;10652789;3512149;7140640;650685;5042284;3636673;;;-887632;;;159791;52304;;;;;-780145;-12917;-767228;;-767228
C1061 - Trilla de café;RISARALDA;PEREIRA-RISARALDA;48674787;44302022;4372765;1306989;2983387;976506;8219;;1711642;;;8854010;15437777;;;;;-4872125;-156333;-4715792;;-4715792
C2029 - Fabricación de otros productos químicos n.c.p.;ANTIOQUIA;RIONEGRO-ANTIOQUIA;144638655;105897832;38740823;892994;;12047645;5804639;;21781533;;;;117229;;;;;21664304;6703086;14961218;;14961218
G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.;BOGOTA D.C.;BOGOTA D.C.;62405821;50616128;11789693;522642;6700378;7091081;439064;;-1918188;;;2616998;3970730;;;;;-3271920;92083;-3364003;;-3364003
N8299 - Otras actividades de servicio de apoyo a las empresas n.c.p.;BOGOTA D.C.;BOGOTA D.C.;4813669;;4813669;591552;1486202;2778703;113489;;1026827;;;388240;259857;;;;;1155210;386078;769132;;769132
G4631 - Comercio al por mayor de productos alimenticios;CUNDINAMARCA;CHIA-CUNDINAMARCA;73654219;48100649;25553570;912890;16914522;5616415;382398;;3553125;;;2145125;1782846;;;;;3915404;1404815;2510589;;2510589
A0125 - Cultivo de flor de corte;ANTIOQUIA;RIONEGRO-ANTIOQUIA;20790095;12680813;8109282;115685;3435333;1357969;;;3431665;;;;1797084;;;;-943289;691292;278271;413021;;413021
F4112 - Construcción de edificios no residenciales;BOGOTA D.C.;BOGOTA D.C.;39242167;31840170;7401997;478080;176843;1095267;1899816;;4708151;;;248325;1498316;;;;;3458160;-394772;3852932;;3852932
C3312 - Mantenimiento y reparación especializado de maquinaria y equipo;BOGOTA D.C.;BOGOTA D.C.;87166868;75275897;11890971;813282;11997207;16797349;11393;;-16101696;;;5601012;345333;-561182;;;;-10284835;441617;-10726452;;-10726452
G4511 - Comercio de vehículos automotores nuevos;VALLE;CALI-VALLE;66414549;57677659;8736890;723917;7407503;1557879;31029;;464396;;;4218;1071407;;;;;-602793;-82594;-520199;;-520199
G4541 - Comercio de motocicletas y de sus partes, piezas y accesorios;ANTIOQUIA;MEDELLIN-ANTIOQUIA;43507304;33316111;10191193;410009;2697239;1522110;326931;0;6054922;;;582286;3310418;;;;;3326790;463015;2863775;;2863775
F4390 - Otras actividades especializadas para la construcción de edificios y obras de ingeniería civil;ATLANTICO;PUERTO-COLOMBIA-ATLANTICO;30811345;29212050;1599295;886845;;3129343;2727231;223481;-3146953;;;1068024;30788;;;;;-2109717;222080;-2331797;;-2331797
A0125 - Cultivo de flor de corte;BOGOTA D.C.;BOGOTA D.C.;66424284;56571275;9853009;3225077;;1501797;402897;;11173392;;;12162568;15253217;8277517;;;;-194774;-344124;149350;;149350
C2392 - Fabricación de materiales de arcilla para la construcción;ANTIOQUIA;GUARNE-ANTIOQUIA;139195930;87683532;51512398;1655250;25285207;11843497;4397956;1201116;12842104;;;617266;7007859;;;;;6451511;2149599;4301912;-28314161;-24012249
A0125 - Cultivo de flor de corte;ANTIOQUIA;RIONEGRO-ANTIOQUIA;16643290;12257511;4385779;886077;2616328;1774912;66697;;813919;;;;964126;;;;;-150207;-23367;-126840;;-126840
