Clasificación Industrial Internacional Uniforme Versión 4 A.C (CIIU);Departamento de la dirección del domicilio;Ciudad de la dirección del domicilio;Ingresos de actividades ordinarias;Costo de ventas;Ganancia bruta;Otros ingresos;Gastos de ventas;Gastos de administración;Otros gastos;Otras ganancias (pérdidas);Ganancia (pérdida) por actividades de operación;Diferencia entre el importe en libros de dividendos pagaderos e importe en libros de activos distribuidos distintos al efectivo;Ganancias (pérdidas) que surgen de la baja en cuentas de activos financieros medidos al costo amortizado;Ingresos financieros;Costos financieros;Deterioro de valor de ganancias y reversión de pérdidas por deterioro de valor (pérdidas por deterioro de valor) determinado de acuerdo con la NIIF 9;Ganancias (pérdidas) que surgen de diferencias entre el costo amortizado anterior y el valor razonable de activos financieros reclasificados de la categoría de medición costo amortizado a la categoría de medición de valor razonable con cambios en resultados;Ganancia (pérdida) acumulada anteriormente reconocida en otro resultado integral que surge de la reclasificación de activos financieros de la categoría de medición de valor razonable con cambios en otro resultado integral a la de valor razonable con cambios en resultados;Ganancias (pérdidas) de cobertura por cobertura de un grupo de partidas con posiciones de riesgo compensadoras;Ganancia (pérdida), antes de impuestos;Ingreso (gasto) por impuestos;Ganancia (pérdida) procedente de operaciones continuadas;Ganancia (pérdida) procedente de operaciones discontinuadas;Ganancia (pérdida)
G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos;BOGOTA D.C.;BOGOTA D.C.;4665256330;4403790741;261465589;13436021;33015635;179184868;0;;62701107;0;0;0;7933050;0;0;0;0;54768057;19600110;35167947;0;35167947
G4690 - Comercio al por mayor no especializado;BOGOTA D.C.;BOGOTA D.C.;283205425;211989179;71216246;532805;50732995;11196899;2037583;;7781574;;;14898556;14318687;;;;;8361443;3525094;4836349;;4836349
G4669 - Comercio al por mayor de otros productos n.c.p.;BOGOTA D.C.;BOGOTA D.C.;348674184;237527919;111146265;;66988088;34283475;;-6419807;3454895;;;;4545946;;;;;-1091051;4285048;-5376099;;-5376099
G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador;BOGOTA D.C.;BOGOTA D.C.;900135748;703674456;196461292;36708376;6990623;165233904;1833090;;59112051;;;14951329;16962028;;;;;57101352;18796169;38305183;;38305183
G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.;BOGOTA D.C.;BOGOTA D.C.;14827318;9331779;5495539;492413;2516238;1547169;26326;44222;1942441;;;3478637;3957773;;;;;1463305;-401911;1865216;;1865216
C2813 - Fabricación de otras bombas, compresores, grifos y válvulas;CUNDINAMARCA;MOSQUERA-CUNDINAMARCA;125274940;61373715;63901225;1134781;;10014978;45062318;;9958710;;;794671;3262914;;;;;7490467;6140600;1349867;;1349867
C2930 - Fabricación de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores;BOGOTA D.C.;BOGOTA D.C.;29168204;28101508;1066696;1118121;3591981;2134846;232209;7336;-3766883;;;24381;776227;;;;;-4518729;-375548;-4143181;;-4143181
C2211 - Fabricación de llantas y neumáticos de caucho;VALLE;YUMBO-VALLE;289281148;271441573;17839575;;18175642;10084658;;-6767242;-17187967;;;;5691820;;;;;-22879787;-6021284;-16858503;;-16858503
B0610 - Extracción de petróleo crudo;BOGOTA D.C.;BOGOTA D.C.;1054433325;712922167;341511158;13182313;;99911809;221741727;;33039935;;;25805038;5768917;;;;;53076056;40605915;12470141;;12470141
C2029 - Fabricación de otros productos químicos n.c.p.;ATLANTICO;BARRANQUILLA-ATLANTICO;111995995;87575690;24420305;2691909;;13754338;7646582;;5711294;;;;3477304;;;;;2233990;4090981;-1856991;;-1856991
G4651 - Comercio al por mayor de computadores, equipo periférico y programas de informática;BOGOTA D.C.;BOGOTA D.C.;97344153;84459177;12884976;;7046852;1903539;;;3934585;;;1153472;65729;;;;;5022328;1925975;3096353;;3096353
C2011 - Fabricación de sustancias y productos químicos básicos;BOGOTA D.C.;BOGOTA D.C.;383394009;213956106;169437903;;89016460;27062106;;456987;53816324;;;2821128;6803549;;;;;49833903;10702712;39131191;;39131191
C1051 - Elaboración de productos de molinería;SANTANDER;BUCARAMANGA-SANTANDER;106791372;87435898;19355474;426712;6697245;2729419;2272117;;8083405;;;;;;;;;8083405;2493242;5590163;;5590163
C1030 - Elaboración de aceites y grasas de origen vegetal y animal;BOGOTA D.C.;BOGOTA D.C.;247287935;222355513;24932422;29038674;24035283;27026480;;;2909333;;;63962317;39090668;;;;;27780982;1445836;26335146;;26335146
G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.;ANTIOQUIA;MEDELLIN-ANTIOQUIA;111699652;59470093;52229559;695034;0;46984318;685709;;5254566;0;0;3303292;4844583;0;0;0;0;3713275;-411997;4125272;0;4125272
G4669 - Comercio al por mayor de otros productos n.c.p.;BOGOTA D.C.;BOGOTA D.C.;101105127;47735408;53369719;3360917;42133048;;851342;;13746246;;;215692;1938163;;;;;12023775;4581472;7442303;;7442303
M7310 - Publicidad;BOGOTA D.C.;BOGOTA D.C.;59947745;43026679;16921066;1215953;;17299156;;;837863;;;1097484;546;;;;;1934801;;1934801;-2418966;-484165
C2029 - Fabricación de otros productos químicos n.c.p.;BOGOTA D.C.;BOGOTA D.C.;179966964;144171736;35795228;10689932;14188044;7637813;10033196;;14626107;;;76102;8048403;;;;;6653806;564446;6089360;;6089360
C2013 - Fabricación de plásticos en formas primarias;BOLIVAR;CARTAGENA-BOLIVAR;1608493989;1331865315;276628674;;35091475;30076269;18259149;;193201781;;;7977187;2995775;;;;;198183193;60566559;137616634;;137616634
J5920 - Actividades de grabación de sonido y edición de música;BOGOTA D.C.;BOGOTA D.C.;59005006;38794787;20210219;2322963;;11275192;3108599;-2171934;5977457;;;9963;179511;;;;;5807909;2159051;3648858;;3648858
M7020 - Actividades de consultaría de gestión;BOGOTA D.C.;BOGOTA D.C.;24051009;;24051009;3408301;;16972205;9490191;-109300;887614;;;;;;;;;887614;358250;529364;;529364
C1051 - Elaboración de productos de molinería;RISARALDA;DOS-QUEBRADAS-RISARALDA;55390455;46788133;8602322;3387340;3789112;1394875;65477;;6740198;;;;4401884;;;;;2338314;917013;1421301;;1421301
C2599 - Fabricación de otros productos elaborados de metal n.c.p.;BOGOTA D.C.;BOGOTA D.C.;11887615;7740191;4147424;292271;;1490559;1124095;;1825041;;;2027234;3469017;;;;;383258;;383258;;383258
M6920 - Actividades de contabilidad, teneduría de libros, auditoría financiera y asesoría tributaria;BOGOTA D.C.;BOGOTA D.C.;131819639;0;131819639;3835263;0;107096787;946031;0;27612084;0;0;4348960;5025335;0;0;0;0;26935709;8064911;18870798;0;18870798
C1521 - Fabricación de calzado de cuero y piel, con cualquier tipo de suela;CUNDINAMARCA;SIBATE-CUNDINAMARCA;33011241;23348812;9662429;2485062;4006406;5515776;2693171;;-67862;;;124387;5302304;;;;;-5245779;-657152;-4588627;;-4588627
G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador;BOGOTA D.C.;BOGOTA D.C.;107363023;46206908;61156115;644355;36591305;12172868;857127;;12179170;;;49225;2881111;;;;;9347284;3331309;6015975;;6015975
G4663 - Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción;BOGOTA D.C.;BOGOTA D.C.;250121397;223308514;26812883;379348;8543362;3197600;200772;0;15250497;0;0;58403;4258350;0;0;0;0;11050550;3917872;7132678;0;7132678
C2593 - Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería;BOGOTA D.C.;BOGOTA D.C.;54173338;34663490;19509848;360683;9566975;3930077;484653;-258769;5630057;;;175158;273716;;;;;5531499;2106644;3424855;;3424855
A0141 - Cría de ganado bovino y bufalino;CUNDINAMARCA;CHIA-CUNDINAMARCA;56676304;48320876;8355428;190244;;2313130;536547;;5695995;;;66128;1844725;;;;;3917398;1751626;2165772;;2165772
G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.;BOGOTA D.C.;BOGOTA D.C.;34108027;19392549;14715478;304538;9118388;3369921;77058;;2454649;;;367184;693888;;;;;2127945;694250;1433695;;1433695
C1311 - Preparación e hilatura de fibras textiles;BOGOTA D.C.;BOGOTA D.C.;12942769;10579031;2363738;627093;157652;1182881;84380;;1565918;;;451188;148694;;;;;1868412;655156;1213256;;1213256
C2011 - Fabricación de sustancias y productos químicos básicos;ANTIOQUIA;ENVIGADO-ANTIOQUIA;144335806;75097387;69238419;0;26403387;21987775;16769423;-4241432;-163598;0;0;114172;2486841;0;0;0;0;-2536267;1938943;-4475210;0;-4475210
C3290 - Otras industrias manufactureras n.c.p.;ANTIOQUIA;MEDELLIN-ANTIOQUIA;119625055;93589374;26035681;2797168;2802971;9305508;1189401;;15534969;;;3093025;2876550;;;;;15751444;5465734;10285710;;10285710
C2229 - Fabricación de artículos de plástico n.c.p.;CUNDINAMARCA;MOSQUERA-CUNDINAMARCA;101762850;91062028;10700822;0;889168;5749682;0;-174006;3887966;0;0;3403658;246713;0;0;0;0;7044911;2390579;4654332;0;4654332
C2013 - Fabricación de plásticos en formas primarias;BOGOTA D.C.;BOGOTA D.C.;621069324;564412526;56656798;2101578;22961126;8144431;19377093;;8275726;;;302499;728077;;;;;7850148;7873106;-22958;;-22958
F4210 - Construcción de carreteras y vías de ferrocarril;BOGOTA D.C.;BOGOTA D.C.;12463772;11741821;721951;306395;;472791;528642;;26913;;;;;;;;;26913;133465;-106552;;-106552
M7310 - Publicidad;BOGOTA D.C.;BOGOTA D.C.;148814797;6478123;142336674;10692671;77654563;32897903;3762644;;38714235;;;41411008;42877684;;;;;37247559;12941210;24306349;;24306349
C2750 - Fabricación de aparatos de uso doméstico;BOGOTA D.C.;BOGOTA D.C.;365902399;256356045;109546354;2699484;62449899;12414562;2195193;;35186184;;;15127191;17004230;;;;;33309145;10503646;22805499;;22805499
G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador;CUNDINAMARCA;COTA-CUNDINAMARCA;151213046;85039999;66173047;;38181546;9965437;;-672405;17353659;;;25905;231787;;;;;17147777;6270708;10877069;;10877069
C2012 - Fabricación de abonos y compuestos inorgánicos nitrogenados;BOGOTA D.C.;BOGOTA D.C.;65779338;64107596;1671742;296213;;7015056;316047;;-5363148;;;18638;1538112;;;;;-6882622;1292557;-8175179;;-8175179
F4111 - Construcción de edificios residenciales;BOGOTA D.C.;BOGOTA D.C.;3561884;;3561884;5106;52630;2192509;13492;;1308359;;;298921;30954;;;;;1576326;-37063;1613389;;1613389
C2599 - Fabricación de otros productos elaborados de metal n.c.p.;CUNDINAMARCA;COTA-CUNDINAMARCA;39945032;33127176;6817856;348580;487043;6656725;1637;;21031;;;908911;1064022;;;;;-134080;687265;-821345;;-821345
K6499 - Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.;BOGOTA D.C.;BOGOTA D.C.;5137361;0;5137361;3849706;0;12220475;8568629;;-11802037;0;0;0;0;4058283;0;0;0;-15860320;143052;-16003372;0;-16003372
G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador;BOGOTA D.C.;BOGOTA D.C.;39834745;19130811;20703934;1037395;7448058;3993505;1672832;0;8626934;;;;;;;;;8626934;2788921;5838013;;5838013
C2221 - Fabricación de formas básicas de plástico;BOGOTA D.C.;BOGOTA D.C.;77075278;55217154;21858124;75576;3395113;3514896;94269;;14929422;;;2349192;3364707;;;;;13913907;5035351;8878556;;8878556
J6190 - Otras actividades de telecomunicaciones;BOGOTA D.C.;BOGOTA D.C.;168359055;132361189;35997866;;8041205;21313739;4721515;;1921407;;;;6790135;;;;;-4868728;3266241;-8134969;;-8134969
A0125 - Cultivo de flor de corte;BOGOTA D.C.;BOGOTA D.C.;40344413;33102251;7242162;1986759;1764994;3084988;1455637;;2923302;;;15140;6875;;;;;2931567;979235;1952332;;1952332
C2930 - Fabricación de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores;BOGOTA D.C.;BOGOTA D.C.;6790799;5633046;1157753;209833;458725;1241018;55836;147332;-240661;;;696496;687823;10189;;;;-242177;15206;-257383;;-257383
G4669 - Comercio al por mayor de otros productos n.c.p.;CUNDINAMARCA;COTA-CUNDINAMARCA;11039293;8828615;2210678;144152;1733168;1200344;463803;;-1042485;;;462589;419299;;;;;-999195;-427133;-572062;;-572062
C2599 - Fabricación de otros productos elaborados de metal n.c.p.;BOGOTA D.C.;BOGOTA D.C.;36217632;29692901;6524731;961748;1409498;2335574;230774;;3510633;;;937553;413672;;;;;4034514;1285831;2748683;;2748683
C2930 - Fabricación de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores;BOGOTA D.C.;BOGOTA D.C.;26195745;22195258;4000487;497136;440738;4381485;592478;188806;-728272;0;0;801523;156537;0;0;0;0;-83286;210504;-293790;0;-293790
L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados;BOGOTA D.C.;BOGOTA D.C.;592753;0;592753;139183;0;376880;118458;;236598;;;80441;163320;;;;;153719;5330;148389;;148389
N7990 - Otros servicios de reserva y actividades relacionadas;BOGOTA D.C.;BOGOTA D.C.;29325678;;29325678;469242;;26485814;2795790;;513316;;;;;;;;;513316;584608;-71292;;-71292
G4669 - Comercio al por mayor de otros productos n.c.p.;BOGOTA D.C.;BOGOTA D.C.;100105471;73891451;26214020;1417711;11319035;14123475;2902354;;-713133;;;;1245504;;;;;-1958637;533316;-2491953;;-2491953
G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador;BOGOTA D.C.;BOGOTA D.C.;74598298;51046673;23551625;2602972;26312097;10355270;;;-10512770;;;64066804;64995943;;;;;-11441909;2937;-11444846;;-11444846
C2229 - Fabricación de artículos de plástico n.c.p.;BOGOTA D.C.;BOGOTA D.C.;38904823;27522558;11382265;8105;1356619;1056775;714181;;8262795;;;880346;649899;;;;;8493242;2526131;5967111;;5967111
G4772 - Comercio al por menor de todo tipo de calzado y artículos de cuero y sucedáneos del cuero en establecimientos especializados;BOGOTA D.C.;BOGOTA D.C.;24854751;17970478;6884273;506180;8405941;1346647;225499;;-2587634;;;100;273070;;;;;-2860604;-345421;-2515183;;-2515183
G4690 - Comercio al por mayor no especializado;BOGOTA D.C.;BOGOTA D.C.;179158542;84041273;95117269;1710918;65846861;12069795;10057394;;8854137;;;157172;767636;;;;-2899364;5344309;1665766;3678543;;3678543
"C2023 - Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador";CUNDINAMARCA;FUNZA-CUNDINAMARCA;88988193;86855792;2132401;3927420;3201415;;;;2858406;;;;2253083;;;;;605323;1012796;-407473;;-407473
H5229 - Otras actividades complementarias al transporte;BOGOTA D.C.;BOGOTA D.C.;289214463;204557018;84657445;2593243;;30148983;36665083;;20436622;;;;2104728;;;;;18331894;6737235;11594659;;11594659
N8299 - Otras actividades de servicio de apoyo a las empresas n.c.p.;BOGOTA D.C.;BOGOTA D.C.;10853372;0;10853372;1523091;6158876;4091787;56036;0;2069764;0;0;496498;519190;0;0;0;0;2047072;681975;1365097;0;1365097
C2029 - Fabricación de otros productos químicos n.c.p.;BOGOTA D.C.;BOGOTA D.C.;218429230;128534036;89895194;2496478;36316681;;509223;55000;55620768;;;;;;;;;55620768;18841234;36779534;;36779534
C1410 - Confección de prendas de vestir, excepto prendas de piel;BOGOTA D.C.;BOGOTA D.C.;22468444;11268653;11199791;647127;9348868;2266809;1311639;-484718;-1565116;;;;3356995;;175640;;;-4746471;-26329;-4720142;;-4720142
K6613 - Otras actividades relacionadas con el mercado de valores;BOGOTA D.C.;BOGOTA D.C.;10011449;;10011449;95890;;495116;;;9612223;;;70286;239265;;;;;9443244;29776;9413468;;9413468
C1312 - Tejeduría de productos textiles;BOGOTA D.C.;BOGOTA D.C.;44412554;33317188;11095366;331516;4051511;1438061;414999;0;5522311;0;0;11015832;14507718;0;0;0;0;2030425;958522;1071903;0;1071903
G4663 - Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción;BOGOTA D.C.;BOGOTA D.C.;50236738;31036708;19200030;3659278;8249911;2996356;997127;0;10615914;0;0;466329;322;87381;0;0;0;10994540;3880445;7114095;0;7114095
C2011 - Fabricación de sustancias y productos químicos básicos;CUNDINAMARCA;MOSQUERA-CUNDINAMARCA;158814459;108090890;50723569;272857;6687272;4591592;239890;;39477672;;;31475449;36240107;;;;;34713014;9855981;24857033;;24857033
C2221 - Fabricación de formas básicas de plástico;BOGOTA D.C.;BOGOTA D.C.;103624287;87515874;16108413;3993563;4655990;2382764;5226579;;7836643;;;;;;;;;7836643;2637302;5199341;;5199341
C2599 - Fabricación de otros productos elaborados de metal n.c.p.;BOGOTA D.C.;BOGOTA D.C.;360547845;319296951;41250894;668266;22403128;13715368;1481356;0;4319308;0;0;492324;6463319;0;0;0;0;-1651687;879885;-2531572;0;-2531572
G4641 - Comercio al por mayor de productos textiles, productos confeccionados para uso doméstico;BOGOTA D.C.;BOGOTA D.C.;14274802;10571254;3703548;106678;1582435;2493302;208126;;-473637;;;2724050;4271417;;;;;-2021004;22711;-2043715;;-2043715
A0145 - Cría de aves de corral;BOGOTA D.C.;BOGOTA D.C.;38714694;34915140;3799554;773159;1676539;1783469;195984;;916721;;;9676;135551;;;;;790846;298472;492374;;492374
G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador;BOGOTA D.C.;BOGOTA D.C.;773726252;578644310;195081942;47190997;130736098;42337999;6698527;;62500315;;;3126840;13237035;;;;;52390120;15020125;37369995;;37369995
G4719 - Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por productos diferentes de alimentos (víveres en general), bebidas y tabaco;BOGOTA D.C.;BOGOTA D.C.;17275633;11134701;6140932;143142;3514694;1279753;21296;;1468331;;;;135574;;;;;1332757;426958;905799;;905799
F4111 - Construcción de edificios residenciales;BOGOTA D.C.;BOGOTA D.C.;48157083;45456763;2700320;;80597;1326079;8676;;1284968;;;267393;4555;;;;;1547806;432468;1115338;;1115338
L6820 - Actividades inmobiliarias realizadas a cambio de una retribución o por contrata;BOGOTA D.C.;BOGOTA D.C.;9355580;2026945;7328635;514020;0;7018189;0;;824466;0;0;286307;0;0;0;0;0;1110773;392020;718753;0;718753
A0125 - Cultivo de flor de corte;CUNDINAMARCA;MADRID-CUNDINAMARCA;29152131;18051858;11100273;1009485;5695959;2628244;32421;;3753134;;;1687635;4310709;;;;;1130060;615266;514794;;514794
H5229 - Otras actividades complementarias al transporte;BOGOTA D.C.;BOGOTA D.C.;24619156;8723927;15895229;247244;2397893;9329581;178913;;4236086;;;1012692;996448;;;;;4252330;1270445;2981885;;2981885
L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados;BOGOTA D.C.;BOGOTA D.C.;;;;;;124051;;;-124051;;;283115;311181;;;;;-152117;;-152117;;-152117
C2229 - Fabricación de artículos de plástico n.c.p.;SANTANDER;BUCARAMANGA-SANTANDER;36474704;21879502;14595202;313706;1368315;5473815;478654;-33955;7554169;;;2060;1420455;;;;;6135774;2440363;3695411;;3695411
C1811 - Actividades de impresión;CUNDINAMARCA;COTA-CUNDINAMARCA;10021677;7853528;2168149;1800409;279205;1226192;1201467;;1261694;;;;;;;;;1261694;159981;1101713;;1101713
C2229 - Fabricación de artículos de plástico n.c.p.;BOGOTA D.C.;BOGOTA D.C.;31128347;18626159;12502188;335984;1641838;2551267;0;;8645067;;;552766;19311;;;;;9178522;2859000;6319522;;6319522
J5811 - Edición de libros;BOGOTA D.C.;BOGOTA D.C.;27363571;8469946;18893625;733694;13599673;3896054;158001;;1973591;;;;130023;;;;;1843568;152794;1690774;;1690774
G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.;BOGOTA D.C.;BOGOTA D.C.;80128247;43175300;36952947;431250;12404935;5269285;1156933;;18553044;;;984843;4970276;;;;;14567611;5048648;9518963;;9518963
K6613 - Otras actividades relacionadas con el mercado de valores;BOGOTA D.C.;BOGOTA D.C.;4655237;;4655237;8574291;702928;1070141;;;11456459;;;6261;;;;;;11462720;5512;11457208;;11457208
C1040 - Elaboración de productos lácteos;BOGOTA D.C.;BOGOTA D.C.;17769329;12938419;4830910;2723638;;2467146;204147;-306402;4576853;;;;26134;;;;;4550719;676955;3873764;;3873764
H5210 - Almacenamiento y depósito;BOGOTA D.C.;BOGOTA D.C.;19126611;7439413;11687198;15573;;10798281;265612;;638878;;;60847;100528;;;;;599197;357079;242118;;242118
M7110 - Actividades de arquitectura e ingeniería y otras actividades conexas de consultoría técnica;BOGOTA D.C.;BOGOTA D.C.;92961020;71458069;21502951;66842;;15108195;259502;;6202096;;;30861218;29003517;;;;;8059797;7728786;331011;;331011
M7110 - Actividades de arquitectura e ingeniería y otras actividades conexas de consultoría técnica;BOGOTA D.C.;BOGOTA D.C.;57958938;43785291;14173647;1622707;;3791181;;;12005173;;;127510;1576061;;;;;10556622;3581381;6975241;;6975241
G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados;BOGOTA D.C.;BOGOTA D.C.;16800379;7354277;9446102;1366635;;8111932;24883;;2675922;;;1000774;2956751;;;;;719945;168232;551713;;551713
G4664 - Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario;CUNDINAMARCA;COTA-CUNDINAMARCA;187807972;150035750;37772222;21876326;8486874;17507967;26465760;;7187947;;;;13133465;;;;;-5945518;-443859;-5501659;;-5501659
C1082 - Elaboración de cacao, chocolate y productos de confitería;BOGOTA D.C.;BOGOTA D.C.;75797943;46645564;29152379;1131094;14332935;12144773;1825604;;1980161;;;1913555;2602434;;;;;1291282;554733;736549;;736549
G4669 - Comercio al por mayor de otros productos n.c.p.;BOGOTA D.C.;BOGOTA D.C.;22034548;12499572;9534976;908495;8077289;2483093;311604;;-428515;;;1257951;2581899;344453;;;;-2096916;125631;-2222547;;-2222547
N8220 - Actividades de centros de llamadas (Call center);BOGOTA D.C.;BOGOTA D.C.;311622670;275949542;35673128;6770504;;34277307;;;8166325;;;591502;2711213;;;;;6046614;1518542;4528072;;4528072
C1081 - Elaboración de productos de panadería;BOGOTA D.C.;BOGOTA D.C.;50616943;32072081;18544862;460500;18089185;2173401;109414;;-1366638;;;;311719;;;;;-1678357;;-1678357;;-1678357
N7820 - Actividades de agencias de empleo temporal;BOGOTA D.C.;BOGOTA D.C.;346498766;320664493;25834273;18500986;;33047590;1749384;;9538285;;;307587;1091249;;;;;8754623;3679905;5074718;;5074718
C3290 - Otras industrias manufactureras n.c.p.;CUNDINAMARCA;COTA-CUNDINAMARCA;15354339;10632646;4721693;152745;939007;1925947;856695;;1152789;;;126271;4981328;;;;;-3702268;531588;-4233856;;-4233856
B0910 - Actividades de apoyo para la extracción de petróleo y de gas natural;BOGOTA D.C.;BOGOTA D.C.;536545857;627542352;-90996495;36991763;;37909756;31745348;;-123659836;;;421559;11022958;;;;;-134261235;-24660453;-109600782;;-109600782
N8010 - Actividades de seguridad privada;BOGOTA D.C.;BOGOTA D.C.;50480954;39579901;10901053;2867662;;10219607;458454;;3090654;;;96021;915234;;;;;2271441;734196;1537245;;1537245
C1090 - Elaboración de alimentos preparados para animales;BOGOTA D.C.;BOGOTA D.C.;94064485;84268440;9796045;66;2371596;659408;;;6765107;;;224603;1273828;;;;;5715882;2040427;3675455;;3675455
C2395 - Fabricación de artículos de hormigón, cemento y yeso;CUNDINAMARCA;SOACHA-CUNDINAMARCA;19680985;12393907;7287078;1120238;4833013;489538;2154822;;929943;;;475737;49254;;;;;1356426;254790;1101636;;1101636
B0910 - Actividades de apoyo para la extracción de petróleo y de gas natural;BOGOTA D.C.;BOGOTA D.C.;53159245;24257553;28901692;2880749;15254556;4601514;53987;-26449;11845935;0;0;142232;122255;0;0;0;0;11865912;3822548;8043364;0;8043364
B0610 - Extracción de petróleo crudo;BOGOTA D.C.;BOGOTA D.C.;903392023;416074808;487317215;6298368;;35299590;3481498;;454834495;;;6648537;5302570;;;;;456180462;130589720;325590742;;325590742
A0125 - Cultivo de flor de corte;CUNDINAMARCA;CHIA-CUNDINAMARCA;10939543;9543752;1395791;876589;343416;1960742;258205;;-289983;;;911232;430184;-21188;;;;212253;143373;68880;;68880
G4663 - Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción;BOGOTA D.C.;BOGOTA D.C.;55107254;35949233;19158021;;11190006;6422065;397054;;1148896;;;857307;2207989;;;;;-201786;209715;-411501;;-411501
G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.;BOGOTA D.C.;BOGOTA D.C.;40429138;25714220;14714918;0;6998234;3456926;3150093;;1109665;;-616216;;;;;;;493449;339240;154209;;154209
G4664 - Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario;BOGOTA D.C.;BOGOTA D.C.;598961534;489652238;109309296;3112453;64510027;13132256;13299594;0;21479872;;;939207;5042472;;;;;17376607;5913809;11462798;-2278290;9184508
K6499 - Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.;BOGOTA D.C.;BOGOTA D.C.;14158710;13108060;1050650;;;;;;1050650;;;;;;;;;1050650;628090;422560;;422560
J5813 - Edición de periódicos, revistas y otras publicaciones periódicas;BOGOTA D.C.;BOGOTA D.C.;7477527;2313368;5164159;70957;1168593;4968645;38627;;-940749;;;116759;92036;;;;;-916026;16219;-932245;;-932245
G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.;BOGOTA D.C.;BOGOTA D.C.;104626665;59972759;44653906;2108943;4951429;14712607;508011;;26590802;;;333934;495252;;;;;26429484;8757075;17672409;;17672409
C3315 - Mantenimiento y reparación especializado de equipo de transporte, excepto los vehículos automotores, motocicletas y bicicletas;CUNDINAMARCA;COTA-CUNDINAMARCA;55939709;43473324;12466385;379;;3098237;;-2148215;7220312;;;6646845;7242491;;;;;6624666;3855476;2769190;;2769190
G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores;BOGOTA D.C.;BOGOTA D.C.;23622149;14720699;8901450;307869;4070670;1043472;43086;;4052091;;;;1000096;;;;;3051995;1038646;2013349;;2013349
C1512 - Fabricación de artículos de viaje, bolsos de mano y artículos similares elaborados en cuero, y fabricación de artículos de talabartería y guarnicionería;BOGOTA D.C.;BOGOTA D.C.;43988162;17606566;26381596;2840448;19491736;3646775;616307;;5467226;;;2044146;2051416;468427;;;;4991529;1692837;3298692;;3298692
J6190 - Otras actividades de telecomunicaciones;BOGOTA D.C.;BOGOTA D.C.;23245795;18316675;4929120;1154726;3396086;1931393;1597586;;-841219;0;0;59459;449874;0;0;0;0;-1231634;-3762;-1227872;;-1227872
C2410 - Industrias básicas de hierro y de acero;BOGOTA D.C.;BOGOTA D.C.;45129963;35052597;10077366;881368;6153487;5755018;593850;;-1543621;;;2949742;4655503;;;;;-3249382;-3493250;243868;;243868
B0510 - Extracción de hulla (carbón de piedra);BOGOTA D.C.;BOGOTA D.C.;1709958783;1949542363;-239583580;;169964017;7958268;;-390607401;-808113266;;;5166981;13912898;;;;;-816859183;-84583608;-732275575;;-732275575
G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.;BOGOTA D.C.;BOGOTA D.C.;52919218;41452081;11467137;259616;4244928;2863712;393540;;4224573;0;0;1483689;2276200;0;0;0;0;3432062;1363798;2068264;0;2068264
A0122 - Cultivo de plátano y banano;ANTIOQUIA;ENVIGADO-ANTIOQUIA;30358023;24472904;5885119;833227;1479121;391767;1404157;;3443301;;;49916;;;;;;3493217;1346404;2146813;;2146813
