estado;año_inicio_comercialización;tipo;espacio_de_comercialización;corregimiento_o_barrio;sexo;inscrito_en_cedezo;tipo_de_inscripción;comuna;productos;"vereda"
activo;2016;productor;laureles;san cristobal;masculino;no se encuentra inscrito;directo;san cristobal;verduras;"el llano"
activo;2016;productor;laureles;san cristobal;femenino;no se encuentra inscrito;directo;san cristobal;verduras;"el llano"
activo;2016;transformador;laureles;san cristobal;femenino;2. orientacion (ingreso al programa);directo;san cristobal;comidas;"travesias"
activo;2016;productor;laureles;san sebastian de palmitas;masculino;no se encuentra inscrito;directo;san sebastian de palmitas;verduras;"la sucia"
inactivo;2016;transformador;inactivo;san cristobal;femenino;no se encuentra inscrito;directo;san cristobal;mermeladas, pulpas de fruta;"el hueco"
inactivo;2016;transformador;eventos;san antonio de prado;femenino;2. orientacion (ingreso al programa);directo;san antonio de prado;mermeladas de tomate y arepas de queso;"prados del este"
activo;2017;productor;eventos;santa elena;femenino;no se encuentra inscrito;directo;santa elena;flores plantas, fresas y moras;"no dato"
activo;2016;transformador;laureles;san cristobal;femenino;no se encuentra inscrito;directo;san cristobal;gelatina de pata, obleas, mazamorra;"las flores"
activo;2016;transformador;laureles;san antonio de prado;femenino;2. orientacion (ingreso al programa);directo;san antonio de prado;jugos;"no dato"
activo;2016;productor;loma los bernal;altavista;masculino;no se encuentra inscrito;directo;altavista;productos agrícolas;"la palma"
inactivo;2016;transformador;inactivo;san sebastian de palmitas;masculino;no se encuentra inscrito;directo;san sebastian de palmitas;jugo de naranja;"la potrera"
activo;2016;transformador;loma los bernal;altavista;femenino;no se encuentra inscrito;directo;altavista;arepas de maíz;"manzanillo"
activo;2016;productor;loma los bernal;altavista;masculino;no se encuentra inscrito;directo;altavista;productos agrícolas;"manzanillo"
activo;2016;transformador;loma los bernal;altavista;femenino;no se encuentra inscrito;directo;altavista;arepa de huevo, pastel de pollo, empanadas;"la palma"
activo;2016;productor;loma los bernal;san cristobal;masculino;no se encuentra inscrito;directo;san cristobal;prod. agricolas verduras y hortalizas;"san jose"
activo;2016;transformador;mon y velarde;san cristobal;masculino;no se encuentra inscrito;directo;san cristobal;arepas;"central"
activo;2016;transformador;mon y velarde;medellin;femenino;no se encuentra inscrito;directo;medellin;comidas;"bello"
activo;2017;productor;eventos;santa elena;femenino;no se encuentra inscrito;directo;santa elena;cultiva acelga, brocoli, coliflor, espinaca, papa, lechuga,cebolla, apio medicinal, perejil crespo, menta, yerbabuena,;"piedra gorda"
inactivo;2016;productor;inactivo;san cristobal;masculino;no se encuentra inscrito;directo;san cristobal;aji, aguacate, banano;"pajarito"
activo;2016;transformador;mon y velarde;san antonio de prado;femenino;2. orientacion (ingreso al programa);directo;san antonio de prado;quesito, cuajada, arepas de chocolo;"potrerito"
activo;2016;transformador;mon y velarde;medellin;femenino;no se encuentra inscrito;directo;medellin;comidas;"bello"
activo;2016;productor;nuevo occidente;san cristobal;femenino;no se encuentra inscrito;directo;san cristobal;hortalizas;"pajarito"
inactivo;2016;transformador;inactivo;san cristobal;femenino;no se encuentra inscrito;directo;san cristobal;artesanias;"roblemar"
activo;2016;productor;nuevo occidente;san cristobal;femenino;no se encuentra inscrito;directo;san cristobal;hortalizas, frutas, huevos;"las playas"
inactivo;2016;productor;inactivo;san cristobal;femenino;no se encuentra inscrito;directo;san cristobal;frutas,hortalizas y flores;"boqueron"
inactivo;2016;transformador;inactivo;san cristobal;femenino;2. orientacion (ingreso al programa);directo;san cristobal;tortas postres;"nuevo occidente"
activo;2016;transformador;eventos;san cristobal;femenino;no se encuentra inscrito;directo;san cristobal;galletas, helados;"nuevo occidente"
activo;2016;productor;pajarito;san cristobal;masculino;no se encuentra inscrito;directo;san cristobal;hortalizas, huevos y pollo;"pajarito"
activo;2016;transformador;pajarito;san cristobal;femenino;2. orientacion (ingreso al programa);directo;san cristobal;fritos y tranfsormados;"pajarito"
activo;2016;productor;pajarito;san cristobal;masculino;no se encuentra inscrito;directo;san cristobal;hortalizas y frutas;"pajarito km 8"
activo;2016;productor;pajarito;san cristobal;masculino;no se encuentra inscrito;directo;san cristobal;hortalizas y plantas;"pajarito"
activo;2016;productor;pajarito;san cristobal;masculino;no se encuentra inscrito;directo;san cristobal;hortalizas;"pajarito"
activo;2016;productor-plantas;pajarito;san cristobal;masculino;no se encuentra inscrito;directo;san cristobal;hortalizas y plantas;"pajarito"
inactivo;2016;transformador;inactivo;san sebastian de palmitas;masculino;no se encuentra inscrito;directo;san sebastian de palmitas;confiteriay platano;"miserengo parte alta"
activo;2016;productor;palmitas;san sebastian de palmitas;masculino;no se encuentra inscrito;directo;san sebastian de palmitas;hortalizas y frutas;"la cruz"
activo;2016;productor;palmitas;ebegico;masculino;no se encuentra inscrito;directo;ebegico;hortalizas y frutas;"la potrera"
activo;2016;productor;palmitas;san sebastian de palmitas;masculino;no se encuentra inscrito;directo;san sebastian de palmitas;verduras y hortalizas;"urquitá"
inactivo;2016;transformador;inactivo;medellin;femenino;no se encuentra inscrito;directo;medellin;ropa;"robledo"
inactivo;2016;transformador;inactivo;medellin;femenino;no se encuentra inscrito;directo;medellin;ropa;"robledo"
activo;2016;productor;palmitas;san sebastian de palmitas;masculino;no se encuentra inscrito;directo;san sebastian de palmitas;hortalizas y frutas;"la sucia"
inactivo;2016;transformador;inactivo;san sebastian de palmitas;masculino;no se encuentra inscrito;directo;san sebastian de palmitas;bisuteria;"la potrera"
