Ciudad;Ingresos;Costos;EBIT;Intereses;Utilidad_Neta;Activos
MEDELLIN-ANTIOQUIA;28850905;23593827;5257078;0;421947;51259120
MEDELLIN-ANTIOQUIA;52164888;40593548;11571340;1120585;972230;39728088
MEDELLIN-ANTIOQUIA;113307841;65649482;47658359;2453853;17384918;145303433
MEDELLIN-ANTIOQUIA;33994475;27397965;6596510;1765216;-866260;106508822
MEDELLIN-ANTIOQUIA;119969414;80051517;39917897;0;-302018;130576675
MEDELLIN-ANTIOQUIA;171550072;162257651;9292421;0;4444056;170000238
MEDELLIN-ANTIOQUIA;184639930;21893673;162746257;13096466;11726167;534963750
MEDELLIN-ANTIOQUIA;726642534;489596437;237046097;2781158;106430652;511702139
MEDELLIN-ANTIOQUIA;26000746;25154811;845935;1953016;-16170656;283610871
MEDELLIN-ANTIOQUIA;2342629;110357;2232272;0;810591;154135817
MEDELLIN-ANTIOQUIA;9735452;6211395;3524057;0;8405;4363750
MEDELLIN-ANTIOQUIA;22573307;17818315;4754992;374176;651038;28653677
MEDELLIN-ANTIOQUIA;23490511;15789432;7701079;1892551;659850;29784539
MEDELLIN-ANTIOQUIA;161004977;109497931;51507046;3636328;11708697;136152501
MEDELLIN-ANTIOQUIA;25389805;19360787;6029018;560;1433936;33009627
MEDELLIN-ANTIOQUIA;120464571;60664035;59800536;10990975;1986725;133190957
MEDELLIN-ANTIOQUIA;22222884;15801597;6421287;959622;830932;16819993
MEDELLIN-ANTIOQUIA;261209133;196331319;64877814;12096358;20422191;209036995
MEDELLIN-ANTIOQUIA;11068991;5919821;5149170;228112;-107086;5128650
MEDELLIN-ANTIOQUIA;33874110;26018687;7855423;999383;1231543;42801694
MEDELLIN-ANTIOQUIA;20133973;16711198;3422775;232612;800616;9296365
MEDELLIN-ANTIOQUIA;200467706;171918975;28548731;0;4731853;268067112
MEDELLIN-ANTIOQUIA;13796908;6591602;7205306;812964;32706;17272951
MEDELLIN-ANTIOQUIA;37040259;23554857;13485402;420606;2725396;20864594
MEDELLIN-ANTIOQUIA;6326828;4201421;2125407;70651;-37979;9613098
MEDELLIN-ANTIOQUIA;28227295;25934883;2292412;152836;1068551;42252166
MEDELLIN-ANTIOQUIA;14326730;7502394;6824336;296588;1236040;14561929
MEDELLIN-ANTIOQUIA;7055760;7283161;-227401;1777377;-2277818;35647865
MEDELLIN-ANTIOQUIA;3183766;976656;2207110;516342;254980;149978185
MEDELLIN-ANTIOQUIA;16533107;8164267;8368840;0;271603;124859965
MEDELLIN-ANTIOQUIA;141201086;91008054;50193032;1071863;11426210;51590935
MEDELLIN-ANTIOQUIA;34253523;18136476;16117047;1338014;6164489;36025964
MEDELLIN-ANTIOQUIA;81755997;63970635;17785362;1649888;2147391;47062488
MEDELLIN-ANTIOQUIA;2998881;3779007;-780126;7691;-1059563;27865483
MEDELLIN-ANTIOQUIA;534190317;303276295;230914022;7594044;-33020469;242640330
MEDELLIN-ANTIOQUIA;12433822;10841912;1591910;0;126815;17814615
MEDELLIN-ANTIOQUIA;20101679;12865412;7236267;247708;3906148;19378468
MEDELLIN-ANTIOQUIA;5147629;5677759;-530130;390670;-307638;38396547
MEDELLIN-ANTIOQUIA;223012;164683;58329;221408;-264195;2786233
MEDELLIN-ANTIOQUIA;755310;165591;589719;307909;32656;3391629
MEDELLIN-ANTIOQUIA;0;43109842;-43109842;5079;-3327956;370089255
MEDELLIN-ANTIOQUIA;682765;282324;400441;0;-26271;39400343
MEDELLIN-ANTIOQUIA;43569827;34773138;8796689;341478;1511941;27288408
MEDELLIN-ANTIOQUIA;51627622;44556251;7071371;0;257671;27836101
MEDELLIN-ANTIOQUIA;9452964;3727923;5725041;0;552714;9946320
MEDELLIN-ANTIOQUIA;1138175287;1111989788;26185499;10526689;7539497;51833452
MEDELLIN-ANTIOQUIA;2045020;372969;1672051;0;619740;2295003
MEDELLIN-ANTIOQUIA;6941539;5971732;969807;0;71795;10403236
MEDELLIN-ANTIOQUIA;1015916;0;1015916;346553;117368;7442830
MEDELLIN-ANTIOQUIA;120646862;101234566;19412296;2632382;10503880;366983153
MEDELLIN-ANTIOQUIA;9040354;5364995;3675359;121266;477403;4235921
MEDELLIN-ANTIOQUIA;2730457;0;2730457;197099;2319189;41558280
MEDELLIN-ANTIOQUIA;0;0;0;6;-24769;19987362
MEDELLIN-ANTIOQUIA;0;0;0;4;-24785;19986822
MEDELLIN-ANTIOQUIA;0;0;0;0;1636591;324893855
MEDELLIN-ANTIOQUIA;84829414;64752819;20076595;742504;6747460;36237006
MEDELLIN-ANTIOQUIA;5635000;9293000;-3658000;84000;-5019000;56669000
MEDELLIN-ANTIOQUIA;0;0;0;0;-1337945;73585050
MEDELLIN-ANTIOQUIA;6368484;3842419;2526065;403019;-40927;9237130
MEDELLIN-ANTIOQUIA;6468261;5904117;564144;1020756;-797756;8035751
MEDELLIN-ANTIOQUIA;4831511;2764602;2066909;285298;269880;5725248
MEDELLIN-ANTIOQUIA;68935666;27626466;41309200;897997;28353854;54477366
MEDELLIN-ANTIOQUIA;12261911;1013480;11248431;676833;-3240872;11789902
MEDELLIN-ANTIOQUIA;1278262692;502964648;775298044;1198310;432752667;967259317
MEDELLIN-ANTIOQUIA;0;0;0;0;-2518132;45716771
MEDELLIN-ANTIOQUIA;1075256;776379;298877;27688;26708;942336
MEDELLIN-ANTIOQUIA;485662877;1967438;483695439;14550675;18752702;398631640
MEDELLIN-ANTIOQUIA;2544940;901313;1643627;259008;99479;6675356
MEDELLIN-ANTIOQUIA;16164909;12824850;3340059;29195;2797511;80868876
MEDELLIN-ANTIOQUIA;7870751;7315298;555453;0;111655;7003279
MEDELLIN-ANTIOQUIA;31711417;15889673;15821744;7010;-821983;8379269
MEDELLIN-ANTIOQUIA;3620969;1822084;1798885;5180;3045765;41141133
MEDELLIN-ANTIOQUIA;3993664;4020767;-27103;448091;-2135284;11506781
MEDELLIN-ANTIOQUIA;53219818;50350407;2869411;292457;2336291;216979809
MEDELLIN-ANTIOQUIA;25416215;27569045;-2152830;1184110;-14056336;60636389
MEDELLIN-ANTIOQUIA;17261030;16542171;718859;371;1188344;92667339
MEDELLIN-ANTIOQUIA;0;0;0;326604;-54641197;13685182
MEDELLIN-ANTIOQUIA;52379326;33274875;19104451;414944;4327683;122706140
MEDELLIN-ANTIOQUIA;20943;0;20943;0;395990;38023060
MEDELLIN-ANTIOQUIA;54796730;64935236;-10138506;3887263;-19634006;49168629
MEDELLIN-ANTIOQUIA;17253509;16452333;801176;0;276523;19575711
MEDELLIN-ANTIOQUIA;7270694;6580115;690579;53579;818192;47459071
MEDELLIN-ANTIOQUIA;2781048;2768083;12965;21654;972;13794525
MEDELLIN-ANTIOQUIA;6857533;4704401;2153132;132740;262920;3227280
MEDELLIN-ANTIOQUIA;393273;320862;72411;0;34135;8523575
MEDELLIN-ANTIOQUIA;32405213;26799565;5605648;2683212;2900319;19627511
MEDELLIN-ANTIOQUIA;93222608;0;93222608;0;-2458779;30749873
MEDELLIN-ANTIOQUIA;0;0;0;4570;-46850;35078104
MEDELLIN-ANTIOQUIA;0;0;0;0;-191;2072304
MEDELLIN-ANTIOQUIA;991043;991043;0;958;-1263;24676956
MEDELLIN-ANTIOQUIA;3114151;2658642;455509;8871;523301;14684257
MEDELLIN-ANTIOQUIA;25990344;26110184;-119840;5808843;-6374500;138148287
MEDELLIN-ANTIOQUIA;9958732;3378705;6580027;3754772;-8181928;87306098
MEDELLIN-ANTIOQUIA;849141;831325;17816;21879;81330;55695278
MEDELLIN-ANTIOQUIA;24319734;22231307;2088427;342615;377471;7827412
MEDELLIN-ANTIOQUIA;41276309;35862357;5413952;420699;750506;7659594
MEDELLIN-ANTIOQUIA;2540913;1314379;1226534;796801;459529;30789067
MEDELLIN-ANTIOQUIA;2534392;2249922;284470;0;153951;3799699
MEDELLIN-ANTIOQUIA;8133615;6859045;1274570;100712;143315;4508494
MEDELLIN-ANTIOQUIA;17667989;17226289;441700;0;448520;129542607
MEDELLIN-ANTIOQUIA;12569944;12255696;314248;0;326694;63727818
MEDELLIN-ANTIOQUIA;1378;0;1378;8780;7366;59883451
MEDELLIN-ANTIOQUIA;81354;0;81354;186846;-54307;3491145
MEDELLIN-ANTIOQUIA;4682823;0;4682823;34858;4576618;29391363
MEDELLIN-ANTIOQUIA;4682610;0;4682610;0;4568695;29392345
MEDELLIN-ANTIOQUIA;4682809;0;4682809;0;4578588;29385343
MEDELLIN-ANTIOQUIA;2331875;2271055;60820;11552;-12764;3053289
MEDELLIN-ANTIOQUIA;0;0;0;1242;35042;110536860
MEDELLIN-ANTIOQUIA;11521136;9500203;2020933;467302;533713;13871138
MEDELLIN-ANTIOQUIA;17582149;12131937;5450212;170244;2721004;10825802
MEDELLIN-ANTIOQUIA;128397;133572;-5175;91927;-86908;2802605
MEDELLIN-ANTIOQUIA;0;0;0;16603;134629;144189236
MEDELLIN-ANTIOQUIA;60166809;48787857;11378952;2569279;4857354;40389294
MEDELLIN-ANTIOQUIA;29308274;35943251;-6634977;742818;-10289163;45454420
MEDELLIN-ANTIOQUIA;73390887;70507400;2883487;1015322;1651506;5491484
MEDELLIN-ANTIOQUIA;10347795;7288690;3059105;0;-1663388;72371228
MEDELLIN-ANTIOQUIA;0;0;0;0;5806;27146764
MEDELLIN-ANTIOQUIA;26317006;22152714;4164292;1857076;743273;14001553
MEDELLIN-ANTIOQUIA;35887874;24719736;11168138;2256058;1066224;38748715
MEDELLIN-ANTIOQUIA;30698470;6307005;24391465;120597;15078017;32483717
MEDELLIN-ANTIOQUIA;4811933;0;4811933;281;1582727;106166184
MEDELLIN-ANTIOQUIA;5605000;5432000;173000;0;-870000;98117195
MEDELLIN-ANTIOQUIA;92515407;68753038;23762369;116447;10006687;110834241
MEDELLIN-ANTIOQUIA;28523991;7861301;20662690;2975933;1543951;1163140786
MEDELLIN-ANTIOQUIA;118700917;127988364;-9287447;14656;-9270514;16382333
MEDELLIN-ANTIOQUIA;1320000;0;1320000;16502;432156;37616534
MEDELLIN-ANTIOQUIA;0;0;0;300;706307;7601222
MEDELLIN-ANTIOQUIA;0;0;0;401;663706;6704519
MEDELLIN-ANTIOQUIA;3622606;0;3622606;57089;101862;2784608
