Actividad;Departamento;Ingresos;Utilidad_operacional;Costos_financieros;Utilidad_neta;Activos;Pasivos;Ganancias_acumuladas
Platano y banano;ANTIOQUIA;3884408;150132;0;94106;9333325;428201;8538503
Platano y banano;ANTIOQUIA;682765;-11347;0;-26271;39400343;6396807;28865933
Platano y banano;ANTIOQUIA;6623938;213290;0;157608;40524780;7495252;28907686
Platano y banano;ANTIOQUIA;51627622;390948;0;257671;27836101;13404462;12955635
Platano y banano;ANTIOQUIA;35029921;163067;0;101432;28305355;14131394;12708101
Platano y banano;ANTIOQUIA;6941539;114463;0;71795;10403236;5211754;4662063
Platano y banano;ANTIOQUIA;6325470;9833;0;2082;9892989;4773302;4590476
Platano y banano;MAGDALENA;12032256;353259;218266;45366;47898132;14351213;-6513255
Platano y banano;MAGDALENA;18717108;-1079819;214613;-1475711;44201536;14331983;-6558621
Platano y banano;MAGDALENA;10527031;268278;60091;109938;12272295;3393729;2852479
Platano y banano;MAGDALENA;9984595;229864;58659;89784;12891406;4122778;2751520
Platano y banano;MAGDALENA;0;24281;0;6648;11542923;137521;-3462663
Platano y banano;MAGDALENA;0;10708;27668;-53171;11617822;467068;-3469311
Frutas tropicales;ANTIOQUIA;5635000;-5496000;84000;-5019000;56669000;47951000;6587000
Frutas tropicales;ANTIOQUIA;7078000;-4355000;84000;-3726000;56666000;42929000;11606000
Platano y banano;ANTIOQUIA;6468261;-267044;1020756;-797756;8035751;7753451;-891307
Platano y banano;ANTIOQUIA;4646106;-658767;642804;-1311216;7257877;6177821;-93551
Platano y banano;MAGDALENA;14983896;1937868;1310431;4427921;32386868;10243961;17804917
Platano y banano;MAGDALENA;14207896;1199843;1202903;1092480;30433995;12619673;13585580
Platano y banano;MAGDALENA;13155938;338394;91506;168752;54504600;5779530;-423031
Platano y banano;MAGDALENA;14959694;268530;32217;69059;50862571;9152953;-584877
Platano y banano;MAGDALENA;4032457;168737;84965;246337;14817111;2255310;698192
Platano y banano;MAGDALENA;4763392;594102;477128;577050;13454963;1381119;458011
