edad;sexo;actividad;comuna
34;hombre;produccion;4
31;hombre;produccion;60
66;hombre;comercio;1
65;hombre;comercio;5
64;hombre;produccion;9
19;hombre;servicios;16
57;hombre;comercio;10
59;hombre;comercio;10
58;hombre;comercio;5
56;hombre;servicios;8
58;hombre;servicios;8
57;hombre;comercio;9
59;hombre;comercio;9
53;hombre;comercio;13
55;hombre;comercio;13
53;hombre;comercio;4
48;hombre;comercio;4
43;mujer;comercio;6
45;mujer;comercio;6
39;hombre;produccion;9
41;hombre;comercio;9
39;hombre;servicios;2
62;hombre;comercio;7
58;hombre;comercio;10
60;hombre;comercio;10
60;hombre;comercio;10
49;hombre;comercio;90
48;hombre;servicios;4
37;hombre;servicios;1
28;hombre;comercio;2
36;hombre;comercio;2
50;hombre;servicios;2
47;hombre;comercio;10
43;hombre;produccion;13
45;hombre;comercio;10
40;hombre;produccion;4
54;hombre;servicios;3
48;hombre;produccion;8
49;hombre;comercio;9
60;hombre;comercio;7
54;hombre;comercio;50
50;hombre;produccion;13
51;hombre;produccion;5
54;hombre;produccion;5
73;hombre;comercio;10
50;hombre;comercio;10
45;hombre;servicios;7
63;hombre;comercio;7
64;hombre;servicios;12
66;hombre;servicios;12
58;hombre;comercio;7
60;hombre;produccion;1
55;hombre;produccion;13
46;hombre;comercio;9
46;hombre;comercio;4
67;hombre;comercio;7
47;hombre;comercio;4
39;hombre;comercio;60
64;hombre;servicios;3
31;hombre;servicios;4
44;hombre;comercio;11
43;hombre;comercio;1
57;hombre;comercio;10
37;hombre;comercio;2
33;hombre;produccion;10
34;hombre;servicios;10
54;hombre;comercio;60
50;hombre;comercio;7
51;hombre;comercio;7
68;hombre;produccion;5
68;hombre;produccion;10
62;hombre;produccion;9
65;hombre;produccion;80
64;hombre;produccion;7
63;hombre;comercio;10
64;hombre;comercio;10
64;hombre;comercio;13
61;hombre;comercio;80
61;hombre;servicios;9
60;hombre;comercio;4
58;hombre;comercio;15
57;hombre;comercio;4
56;hombre;comercio;13
55;hombre;comercio;16
56;hombre;comercio;13
57;hombre;servicios;5
47;hombre;comercio;2
49;hombre;comercio;2
60;mujer;comercio;10
62;mujer;produccion;10
35;mujer;comercio;8
34;mujer;produccion;4
34;mujer;produccion;4
60;mujer;comercio;5
62;mujer;produccion;16
66;mujer;comercio;1
64;mujer;produccion;60
58;mujer;comercio;12
59;mujer;produccion;5
63;mujer;comercio;8
60;mujer;servicios;80
60;mujer;comercio;50
64;mujer;comercio;50
30;mujer;comercio;3
54;mujer;produccion;50
32;mujer;comercio;7
32;mujer;comercio;4
60;mujer;comercio;9
49;mujer;comercio;9
62;mujer;produccion;60
60;mujer;produccion;2
62;mujer;produccion;2
60;mujer;produccion;60
62;mujer;produccion;60
59;mujer;servicios;6
61;mujer;servicios;6
59;mujer;comercio;10
63;mujer;produccion;9
62;mujer;comercio;7
59;mujer;produccion;5
62;mujer;comercio;13
60;mujer;comercio;5
63;mujer;comercio;1
59;mujer;comercio;15
61;mujer;comercio;14
62;mujer;comercio;16
61;mujer;servicios;16
65;mujer;comercio;6
60;mujer;comercio;7
62;mujer;servicios;7
51;mujer;comercio;80
53;mujer;comercio;80
59;mujer;servicios;60
63;mujer;produccion;60
39;mujer;produccion;2
54;mujer;comercio;60
51;mujer;comercio;13
39;mujer;comercio;10
59;mujer;comercio;60
23;mujer;comercio;10
55;mujer;comercio;3
44;mujer;comercio;60
41;mujer;comercio;5
60;mujer;produccion;13
43;mujer;comercio;6
41;mujer;comercio;13
43;mujer;comercio;13
70;mujer;comercio;4
42;mujer;comercio;60
49;mujer;comercio;1
23;mujer;comercio;2
64;mujer;produccion;6
55;mujer;comercio;9
57;mujer;comercio;9
41;mujer;comercio;5
41;mujer;comercio;7
42;mujer;comercio;7
58;mujer;comercio;1
49;hombre;servicios;16
52;mujer;comercio;7
62;mujer;comercio;7
53;mujer;produccion;7
47;mujer;produccion;7
49;mujer;produccion;7
63;mujer;comercio;10
61;mujer;comercio;9
60;mujer;servicios;9
39;mujer;comercio;7
41;mujer;comercio;7
42;mujer;comercio;7
40;mujer;servicios;5
40;mujer;servicios;5
41;mujer;produccion;1
41;mujer;comercio;5
36;mujer;comercio;3
41;mujer;comercio;15
40;mujer;produccion;2
41;mujer;comercio;2
42;mujer;comercio;6
41;mujer;comercio;2
43;mujer;comercio;2
42;mujer;comercio;13
42;mujer;servicios;4
61;mujer;produccion;1
41;mujer;comercio;1
39;mujer;comercio;2
35;mujer;comercio;90
36;mujer;comercio;4
33;mujer;comercio;1
32;mujer;comercio;7
56;mujer;produccion;8
63;mujer;comercio;1
63;mujer;comercio;4
55;mujer;produccion;1
58;mujer;comercio;8
30;mujer;comercio;7
35;mujer;comercio;10
63;mujer;servicios;7
65;mujer;produccion;7
69;mujer;produccion;13
58;mujer;comercio;80
48;mujer;comercio;80
59;mujer;comercio;13
26;mujer;comercio;80
32;mujer;comercio;3
33;mujer;comercio;3
33;mujer;produccion;1
35;mujer;produccion;9
34;mujer;comercio;10
43;mujer;comercio;7
40;mujer;comercio;11
36;mujer;comercio;80
48;mujer;servicios;3
60;mujer;produccion;1
64;mujer;comercio;6
60;mujer;comercio;13
56;mujer;produccion;7
49;mujer;produccion;13
61;mujer;comercio;13
62;mujer;comercio;6
63;mujer;servicios;3
57;mujer;comercio;13
59;mujer;comercio;13
60;mujer;produccion;9
29;mujer;produccion;80
55;mujer;comercio;3
39;mujer;comercio;13
26;mujer;comercio;7
